performanceid,employeeid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating,envsatisfaction_text,satisfaction_text_job,satisfaction_text_rel,rating_text_self,managerrating_text,reviewyear,previous_manager_rating,days_since_last_review,id,worklifebalance_text
PR4067,005C-E0FB,2020-06-17,3,3,2,1,2,2,4,3,Neutral,Neutral,Dissatisfied,Exceeds Expectation,Meets Expectation,2020,,,2,Dissatisfied
PR5070,005C-E0FB,2021-06-17,4,4,5,1,1,5,3,3,Satisfied,Satisfied,Very Satisfied,Meets Expectation,Meets Expectation,2021,3.0,365.0,5,Very Satisfied
PR6165,005C-E0FB,2022-06-17,3,4,5,3,0,4,4,4,Neutral,Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2022,3.0,365.0,4,Satisfied
PR703,00A3-2445,2015-06-20,3,3,4,3,1,2,3,3,Neutral,Neutral,Satisfied,Meets Expectation,Meets Expectation,2015,,,2,Dissatisfied
PR1165,00A3-2445,2016-06-19,4,5,4,2,2,5,4,3,Satisfied,Very Satisfied,Satisfied,Exceeds Expectation,Meets Expectation,2016,3.0,365.0,5,Very Satisfied
PR1731,00A3-2445,2017-06-19,5,2,5,3,0,5,5,4,Very Satisfied,Dissatisfied,Very Satisfied,Above And Beyond,Exceeds Expectation,2017,3.0,365.0,5,Very Satisfied
PR2395,00A3-2445,2018-06-19,5,2,4,1,0,5,3,3,Very Satisfied,Dissatisfied,Satisfied,Meets Expectation,Meets Expectation,2018,4.0,365.0,5,Very Satisfied
PR3168,00A3-2445,2019-06-19,4,5,3,1,1,3,5,5,Satisfied,Very Satisfied,Neutral,Above And Beyond,Above And Beyond,2019,3.0,365.0,3,Neutral
PR4068,00A3-2445,2020-06-18,5,4,2,3,0,2,3,2,Very Satisfied,Satisfied,Dissatisfied,Meets Expectation,Needs Improvement,2020,5.0,365.0,2,Dissatisfied
PR5071,00A3-2445,2021-06-18,3,2,2,3,0,4,3,3,Neutral,Dissatisfied,Dissatisfied,Meets Expectation,Meets Expectation,2021,2.0,365.0,4,Satisfied
PR6167,00A3-2445,2022-06-18,4,5,5,1,2,4,4,4,Satisfied,Very Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2022,3.0,365.0,4,Satisfied
PR342,00B0-F199,2014-05-22,3,5,3,1,3,2,3,2,Neutral,Very Satisfied,Neutral,Meets Expectation,Needs Improvement,2014,,,2,Dissatisfied
PR674,00B0-F199,2015-05-22,5,2,3,2,0,3,5,4,Very Satisfied,Dissatisfied,Neutral,Above And Beyond,Exceeds Expectation,2015,2.0,365.0,3,Neutral
PR1123,00B0-F199,2016-05-21,3,3,5,3,2,5,5,4,Neutral,Neutral,Very Satisfied,Above And Beyond,Exceeds Expectation,2016,4.0,365.0,5,Very Satisfied
PR1678,00B0-F199,2017-05-21,4,3,4,2,0,2,4,4,Satisfied,Neutral,Satisfied,Exceeds Expectation,Exceeds Expectation,2017,4.0,365.0,2,Dissatisfied
PR2339,00B0-F199,2018-05-21,3,4,4,2,1,3,3,2,Neutral,Satisfied,Satisfied,Meets Expectation,Needs Improvement,2018,4.0,365.0,3,Neutral
